chinese,pinyin,english,thai
监控硬件,jiān kòng yìng jiàn,Monitoring Hardware,ฮาร์ดแวร์สำหรับมอนิเตอร์
监控管理,jiān kòng guǎn lǐ,Monitoring Management,การบริหารจัดการมอนิเตอร์
监控软件,jiān kòng ruǎn jiàn,Monitoring Software,ซอฟต์แวร์สำหรับมอนิเตอร์
监控软件平台,jiān kòng ruǎn jiàn píng tái,Monitoring Software Platform,แพลตฟอร์มซอฟต์แวร์เฝ้าติดตามระบบ
NetEco,NetEco,NetEco (Huawei DCIM Software Platform),แพลตฟอร์ม NetEco ของ Huawei
网络管理解决方案,wǎng luò guǎn lǐ jiě jué fāng àn,Network Management Solution,โซลูชันบริหารจัดการเครือข่าย
网络管理系统,wǎng luò guǎn lǐ xì tǒng,Network Management System (NMS),ระบบ NMS (Network Management System)
运维,yùn wéi,O&M (Operations and Maintenance),งานปฏิบัติการและบำรุงรักษา (O&M)
运维调测,yùn wéi tiáo cè,O&M Commissioning and Testing,การตรวจปรับและทดสอบระบบ O&M
在线门户,zài xiàn mén hù,Online Portal,พอร์ทัลออนไลน์ (online portal)
开放协议,kāi fàng xié yì,Open Protocol,โปรโตคอลแบบเปิด
运维阶段,yùn wéi jiē duàn,Operations and Maintenance (O&M) Phase,ขั้นตอนการดำเนินงานและบำรุงรักษา (O&M)
优化方案,yōu huà fāng àn,Optimization Plan,แผนการปรับปรุง
优化建议,yōu huà jiàn yì,Optimization Recommendations,ข้อเสนอแนะในการปรับปรุง
带外连接,dài wài lián jiē,Out-of-band Connection,การเชื่อมต่อแบบ out-of-band
出站轮询,chū zhàn lún xún,Outbound Polling,การส่งคำขอตรวจสอบสถานะออกไปเป็นระยะ (outbound polling)
综合成本,zōng hé chéng běn,Overall / Comprehensive Cost,ต้นทุนโดยรวม
被动管理,bèi dòng guǎn lǐ,Passive Management,การบริหารจัดการเชิงตั้งรับ (passive)
性能管理,xìng néng guǎn lǐ,Performance Management,การบริหารจัดการประสิทธิภาพ (performance)
性能监测,xìng néng jiān cè,Performance Monitoring,การตรวจสอบประสิทธิภาพ
人员管理,rén yuán guǎn lǐ,Personnel Management,การบริหารบุคลากร
规划设计,guī huà shè jì,Planning and Design,การวางแผนและออกแบบ
规划设计阶段,guī huà shè jì jiē duàn,Planning and Design Phase,ขั้นตอนวางแผนและออกแบบ
规划阶段,guī huà jiē duàn,Planning Phase,ขั้นตอนการวางแผน
Portal,Portal,Portal Interface,หน้าเว็บ portal
电力管理,diàn lì guǎn lǐ,Power Management,การบริหารจัดการพลังงาน
预测性故障分析,yù cè xìng gù zhàng fēn xī,Predictive Failure Analysis,การวิเคราะห์ความเสียหายล่วงหน้า
主动管理,zhǔ dòng guǎn lǐ,Proactive Management,การบริหารจัดการเชิงรุก (proactive)
流程,liú chéng,Process,กระบวนการทำงาน (process)
产品验收,chǎn pǐn yàn shōu,Product Acceptance,การตรวจรับผลิตภัณฑ์
产品调试,chǎn pǐn tiáo shì,Product Commissioning / Debugging,การตรวจปรับผลิตภัณฑ์
产品部署,chǎn pǐn bù shǔ,Product Deployment,การติดตั้งผลิตภัณฑ์
产品操作,chǎn pǐn cāo zuò,Product Operation,การใช้งานผลิตภัณฑ์
项目验收,xiàng mù yàn shōu,Project Acceptance / Commissioning,การตรวจรับโปรเจกต์
项目进度,xiàng mù jìn dù,Project Schedule / Progress,ความคืบหน้าโปรเจกต์
机柜空间利用率,jī guì kōng jiān lì yòng lǜ,Rack Space Utilization,อัตราการใช้พื้นที่ตู้ rack
远程监控,yuǎn chéng jiān kòng,Remote Monitoring,การเฝ้าติดตามระยะไกล
报表,bào biǎo,Report,รายงาน
报表管理,bào biǎo guǎn lǐ,Report Management,การบริหารจัดการรายงาน
风险评估摘要,fēng xiǎn píng gū zhāi yào,Risk Assessment Summary,สรุปผลการประเมินความเสี่ยง
日常维护,rì cháng wéi hù,Routine Maintenance,การบำรุงรักษาประจำวัน
可扩展性,kě kuò zhǎn xìng,Scalability,ความสามารถในการขยายระบบ (scalability)
安全管理,ān quán guǎn lǐ,Security Management,การบริหารจัดการด้านความปลอดภัยของระบบ (security)
业务上架,yè wù shàng jià,Service Go-Live / Rack-In,การขึ้นตู้ rack ให้บริการ
服务水平协议,fú wù shuǐ píng xié yì,Service Level Agreement (SLA),ข้อตกลงระดับบริการ (SLA)
可维修性,kě wéi xiū xìng,Serviceability,ความสามารถในการซ่อมบำรุง (serviceability)
选址评估,xuǎn zhǐ píng gū,Site Selection Assessment,การประเมินเพื่อเลือกที่ตั้ง
短信通知,duǎn xìn tōng zhī,SMS Notification,การแจ้งเตือนผ่าน SMS
SNMP,SNMP,SNMP (Simple Network Management Protocol),โปรโตคอล SNMP
方案设计,fāng àn shè jì,Solution Design,การออกแบบโซลูชัน
SPC使用率（Space/Power/Cooling Usage）,SPC shǐ yòng lǜ,"SPC Usage (Space, Power, Cooling)",อัตราการใช้งาน SPC (พื้นที่/ไฟฟ้า/ความเย็น)
误报警,wù bào jǐng,Spurious Alert,การแจ้งเตือนผิดพลาด (false alarm)
分析状态,fēn xī zhuàng tài,Status Analysis,การวิเคราะห์สถานะ
系统可用性,xì tǒng kě yòng xìng,System Availability,ความพร้อมใช้งานของระบบ
系统管理解决方案,xì tǒng guǎn lǐ jiě jué fāng àn,System Management Solution,โซลูชันบริหารจัดการระบบ
系统冗余,xì tǒng rǒng yú,System Redundancy,ความสำรองของระบบ (redundancy)
TCO成本,TCO chéng běn,TCO (Total Cost of Ownership),ต้นทุนรวมตลอดอายุการใช้งาน (TCO)
第三方系统,dì sān fāng xì tǒng,Third-Party System,ระบบของบุคคลที่สาม
阈值超限,yù zhí chāo xiàn,Threshold Violation,การเกินค่า threshold ที่ตั้งไว้
时间与成本,shí jiān yǔ chéng běn,Time and Cost,เวลาและต้นทุน
传输,chuán shū,Transmission,การส่งข้อมูล
趋势分析,qū shì fēn xī,Trending Analysis,การวิเคราะห์แนวโน้ม
TXT（文本接口）,TXT (wén běn jiē kǒu),TXT (Text File Interface),รูปแบบไฟล์ TXT (text interface)
用户管理,yòng hù guǎn lǐ,User Management,การบริหารจัดการผู้ใช้งาน
用户角色,yòng hù jué sè,User Role,สิทธิ์การใช้งานของผู้ใช้ (user role)
可视化/可见性,kě shì huà / kě jiàn xìng,Visibility,การมองเห็นสถานะระบบ (visibility)
警告（Warning）,jǐng gào,Warning Alarm,alarm ระดับเตือน (warning)
工作台,gōng zuò tái,Workbench / Dashboard,หน้าจอ dashboard/workbench
可用性性能要求,kě yòng xìng xìng néng yāo qiú,Availability Performance Requirement,ข้อกำหนดด้านความพร้อมใช้งานของระบบ
回退方案,huí tuì fāng àn,Back-out Scenario,แผนถอยกลับกรณีเกิดปัญหา (back-out plan)
最佳实践,zuì jiā shí jiàn,Best-in-Class Practices,แนวปฏิบัติที่ดีที่สุดในอุตสาหกรรม
状态切换操作,zhuàng tài qiē huàn cāo zuò,Change-of-state Operation,การเปลี่ยนสถานะการทำงานของระบบ
调试/验收,tiáo shì / yàn shōu,Commissioning,การทดสอบและตรวจรับระบบ (commissioning)
咨询与设计服务,zī xún yǔ shè jì fú wù,Consulting and Design Services,บริการให้คำปรึกษาและออกแบบ
耗材,hào cái,Consumable Item,วัสดุสิ้นเปลือง (consumable)
割接操作程序,gē jiē cāo zuò chéng xù,Cutover Procedure,ขั้นตอนการตัดโอนระบบ (cutover procedure)
退役/拆除,tuì yì / chāi chú,Decommissioning,การปลดระวางอุปกรณ์หรือระบบ
退役服务,tuì yì fú wù,Decommissioning Services,บริการปลดระวางอุปกรณ์
专属服务合同,zhuān shǔ fú wù hé tóng,Dedicated Service Contract,สัญญาบริการเฉพาะทาง
设计工程师,shè jì gōng chéng shī,Design Engineer,วิศวกรออกแบบ
拆卸过程,chāi xiè guò chéng,Disassembly Process,ขั้นตอนการถอดประกอบ
派工流程,pài gōng liú chéng,Dispatch Process,กระบวนการจ่ายงานให้ช่างเข้าไปแก้ปัญหา
现场服务工程师,xiàn chǎng fú wù gōng chéng shī,Field Service Engineer,วิศวกรบริการภาคสนาม
有限寿命部件,yǒu xiàn shòu mìng bù jiàn,Finite-Life Item,ชิ้นส่วนที่มีอายุการใช้งานจำกัด
热传感器,rè chuán gǎn qì,Heat Sensor,เซ็นเซอร์วัดความร้อน
安装服务,ān zhuāng fú wù,Installation Services,บริการติดตั้ง
安装标准,ān zhuāng biāo zhǔn,Installation Standard,มาตรฐานการติดตั้ง
生命周期,shēng mìng zhōu qī,Life Cycle,วงจรชีวิตของระบบ (life cycle)
可维护性,kě wéi hù xìng,Maintenance / Serviceability,ความสามารถในการบำรุงรักษาและซ่อมบำรุง
维护与维修服务,wéi hù yǔ wéi xiū fú wù,Maintenance and Repair Services,บริการบำรุงรักษาและซ่อมแซม
平均恢复时间,píng jūn huī fù shí jiān,Mean-Time-To-Recover (MTTR),เวลาเฉลี่ยในการกู้คืนระบบ (MTTR)
施工方法说明书,shī gōng fāng fǎ shuō míng shū,Method Statement,เอกสารขั้นตอนวิธีการทำงาน (method statement)
监控服务,jiān kòng fú wù,Monitoring Services,บริการมอนิเตอร์ระบบ
需求评估阶段,xū qiú píng gū jiē duàn,Needs-assessment Stage,ขั้นตอนประเมินความต้องการ
运营与服务成本,yùn yíng yǔ fú wù chéng běn,Operating and Service Costs,ต้นทุนการดำเนินงานและบริการ
可预测性维护,kě yù cè xìng wéi hù,Predictable Maintenance,การบำรุงรักษาที่คาดการณ์ได้
预测性维护,yù cè xìng wéi hù,Predictive Maintenance,การบำรุงรักษาเชิงพยากรณ์
预防性维护,yù fáng xìng wéi hù,Preventive Maintenance,การบำรุงรักษาเชิงป้องกัน
项目经理,xiàng mù jīng lǐ,Project Manager,ผู้จัดการโครงการ
再认证项目,zài rèn zhèng xiàng mù,Re-certification Program,โปรแกรมต่ออายุใบรับรอง
更换周期,gēng huàn zhōu qī,Replacement Interval,รอบการเปลี่ยนอุปกรณ์
吊装/搬运,diào zhuāng / bān yùn,Rigging,งานยกและเคลื่อนย้ายอุปกรณ์หนัก (rigging)
序列号,xù liè hào,Serial Number,หมายเลขซีเรียล
服务合同,fú wù hé tóng,Service Contract,สัญญาบริการ
服务,fú wù,Services,บริการ (services)
单一服务来源,dān yī fú wù lái yuán,Single Source of Services,แหล่งบริการเดียวครบวงจร
现场特定程序,xiàn chǎng tè dìng chéng xù,Site-Specific Procedures,ขั้นตอนเฉพาะของแต่ละไซต์งาน
备件,bèi jiàn,Spare Parts,อะไหล่สำรอง (spare parts)
标准化命名,biāo zhǔn huà mìng míng,Standardized Nomenclature,การตั้งชื่อแบบมาตรฐาน
启动测试报告,qǐ dòng cè shì bào gào,Start-up Test Report,รายงานผลการทดสอบเริ่มเดินระบบ
系统割接/切换,xì tǒng gē jiē / qiē huàn,System Cutover,การตัดโอนระบบไปใช้งานจริง (cutover)
系统联调,xì tǒng lián tiáo,System Integration Testing / Commissioning,การทดสอบเชื่อมระบบร่วมกันก่อนใช้งานจริง (commissioning)
技术支持,jì shù zhī chí,Technical Support,ฝ่ายซัพพอร์ตทางเทคนิค
故障工单,gù zhàng gōng dān,Trouble Ticket,ใบแจ้งปัญหา (trouble ticket)
供应商接口,gōng yìng shāng jiē kǒu,Vendor Interface,ช่องทางติดต่อผู้จำหน่าย
供应商合作伙伴,gōng yìng shāng hé zuò huǒ bàn,Vendor Partners,พันธมิตรผู้จำหน่าย (vendor partner)
振动检测设备,zhèn dòng jiǎn cè shè bèi,Vibration Equipment,อุปกรณ์ตรวจจับการสั่นสะเทือน
见证测试,jiàn zhèng cè shì,Witness Test,การทดสอบต่อหน้าพยาน (witness test)
BREEAM认证,BREEAM rèn zhèng,BREEAM Certification,การรับรอง BREEAM
英国建筑研究院环境评估法,yīng guó jiàn zhù yán jiū yuàn huán jìng píng gū fǎ,Building Research Establishment Environmental Assessment Method (BREEAM),มาตรฐานประเมินสิ่งแวดล้อมอาคาร BREEAM
碳足迹,tàn zú jì,Carbon Footprint,คาร์บอนฟุตพริ้นท์ (carbon footprint)
循环经济,xún huán jīng jì,Circular Economy,เศรษฐกิจหมุนเวียน
企业可持续发展报告指令,qǐ yè kě chí xù fā zhǎn bào gào zhǐ lìng,Corporate Sustainability Reporting Directive (CSRD),ข้อกำหนดการรายงานความยั่งยืนขององค์กร (EU)
退役服务器,tuì yì fú wù qì,Decommissioned Servers,เซิร์ฟเวอร์ที่ปลดระวางแล้ว
经济效益、社会效益和环境效益,"jīng jì xiào yì, shè huì xiào yì hé huán jìng xiào yì","Economic, Social and Environmental Benefits",ผลประโยชน์ทางเศรษฐกิจ สังคม และสิ่งแวดล้อม
内含碳足迹,nèi hán tàn zú jì,Embedded Carbon Footprint,คาร์บอนฟุตพริ้นท์แฝงในผลิตภัณฑ์
节约能源和资源,jié yuē néng yuán hé zī yuán,Energy and Resource Conservation,การประหยัดพลังงานและทรัพยากร
能源属性证书,néng yuán shǔ xìng zhèng shū,Energy Attribute Certificate (EAC),ใบรับรองคุณลักษณะพลังงาน (EAC)
能耗控制,néng hào kòng zhì,Energy Consumption Control,การควบคุมการใช้พลังงาน
能耗管理,néng hào guǎn lǐ,Energy Consumption Management,การบริหารจัดการการใช้พลังงาน
能效管理,néng xiào guǎn lǐ,Energy Efficiency Management,การบริหารจัดการประสิทธิภาพพลังงาน
节能,jié néng,Energy Savings,การประหยัดพลังงาน
环境产品声明,huán jìng chǎn pǐn shēng míng,Environmental Product Disclosure (EPD),เอกสารรับรองผลิตภัณฑ์ด้านสิ่งแวดล้อม (EPD)
环境可持续性,huán jìng kě chí xù xìng,Environmental Sustainability,ความยั่งยืนด้านสิ่งแวดล้อม
环境、社会及管治,"huán jìng, shè huì jí guǎn zhì","Environmental, Social and Governance (ESG)",ด้านสิ่งแวดล้อม สังคม และธรรมาภิบาล (ESG)
ESG投资,ESG tóu zī,ESG Investment,การลงทุนแบบ ESG
政府法规,zhèng fǔ fǎ guī,Government Regulations,กฎระเบียบของรัฐบาล
绿色债券,lǜ sè zhài quàn,Green Bonds,พันธบัตรสีเขียว (green bonds)
温室气体,wēn shì qì tǐ,Greenhouse Gas (GHG),ก๊าซเรือนกระจก (GHG)
温室气体排放,wēn shì qì tǐ pái fàng,Greenhouse Gas Emissions,การปล่อยก๊าซเรือนกระจก
高效率,gāo xiào lǜ,High Efficiency,ประสิทธิภาพสูง
财务与ESG综合报告,cái wù yǔ ESG zōng hé bào gào,Integrated Financial and ESG Reports,รายงานการเงินและ ESG แบบบูรณาการ
土地与生物多样性,tǔ dì yǔ shēng wù duō yàng xìng,Land and Biodiversity,ที่ดินและความหลากหลายทางชีวภาพ
垃圾填埋场,lā jī tián mái chǎng,Landfill,หลุมฝังกลบขยะ
PUE,PUE,PUE (Power Usage Effectiveness),ค่า PUE (ประสิทธิภาพการใช้พลังงาน)
PUE变化,PUE biàn huà,PUE Change / Trend,แนวโน้มการเปลี่ยนแปลงค่า PUE
PUE调优,PUE tiáo yōu,PUE Optimization,การปรับปรุงค่า PUE ให้ดีขึ้น
实时碳足迹数据,shí shí tàn zú jì shù jù,Real-Time Carbon Footprint Data,ข้อมูลคาร์บอนฟุตพริ้นท์แบบเรียลไทม์
可再生能源,kě zài shēng néng yuán,Renewable Energy,พลังงานหมุนเวียน
目标声明,mù biāo shēng míng,Statement of Purpose,แถลงการณ์เจตนารมณ์
可持续性,kě chí xù xìng,Sustainability,ความยั่งยืน
可持续性认证,kě chí xù xìng rèn zhèng,Sustainability Certification,การรับรองด้านความยั่งยืน
可持续发展战略,kě chí xù fā zhǎn zhàn lüè,Sustainable Development Strategy,กลยุทธ์การพัฒนาอย่างยั่งยืน
可持续数字基础设施联盟,kě chí xù shù zì jī chǔ shè shī lián méng,Sustainable Digital Infrastructure Alliance (SDIA),องค์กรพันธมิตรโครงสร้างพื้นฐานดิจิทัลที่ยั่งยืน (SDIA)
废物,fèi wù,Waste,ของเสีย (waste)
护栏0.5米范围内禁止堆放,hù lán líng diǎn wǔ mǐ fàn wéi nèi jìn zhǐ duī fàng,"""No Stacking Within 0.5m of Guardrail"" Sign","ป้าย ""ห้ามวางของภายในระยะ 0.5 เมตรจากราวกัน"""
事故起因,shì gù qǐ yīn,Accident Cause,สาเหตุของอุบัติเหตุ
事故概率及人员资质,shì gù gài lǜ jí rén yuán zī zhì,Accident Probability and Personnel Qualification,ความน่าจะเป็นของการเกิดอุบัติเหตุและคุณสมบัติบุคลากร
事故法则,shì gù fǎ zé,Accident Triangle / Accident Law,กฎสามเหลี่ยมอุบัติเหตุ (accident triangle)
乙炔,yǐ quē,Acetylene,แก๊สอะเซทิลีน (acetylene)
乙炔气瓶,yǐ quē qì píng,Acetylene Cylinder,ถังแก๊สอะเซทิลีน
乙炔气管,yǐ quē qì guǎn,Acetylene Hose,สายยางแก๊สอะเซทิลีน
充足的准备工作减少致命性错误,chōng zú de zhǔn bèi gōng zuò jiǎn shǎo zhì mìng xìng cuò wù,Adequate Preparation Reduces Fatal Errors,การเตรียมความพร้อมที่เพียงพอช่วยลดข้อผิดพลาดร้ายแรง
弧焊,hú hàn,Arc Welding,การเชื่อมอาร์ก (arc welding)
电焊机,diàn hàn jī,Arc Welding Machine,เครื่องเชื่อมไฟฟ้า
电焊安全,diàn hàn ān quán,Arc Welding Safety,ความปลอดภัยในการเชื่อมไฟฟ้า
电弧气刨清根,diàn hú qì bào qīng gēn,Arc-Air Gouging (root cleaning),การเซาะร่องด้วยอาร์กลม (arc-air gouging)
窒息,zhì xī,Asphyxiation,ภาวะขาดอากาศหายใจ
背部肌肉拉伤,bèi bù jī ròu lā shāng,Back Muscle Strain,กล้ามเนื้อหลังอักเสบจากการยกของ
电池安全,diàn chí ān quán,Battery Safety,ความปลอดภัยเกี่ยวกับแบตเตอรี่
挫伤,cuò shāng,Bruise / Contusion,รอยฟกช้ำ
建筑规范,jiàn zhù guī fàn,Building Code,มาตรฐานอาคาร (building code)
建筑外墙清洗,jiàn zhù wài qiáng qīng xǐ,Building Facade Cleaning,งานทำความสะอาดผนังภายนอกอาคาร
灼伤,zhuó shāng,Burn Injury,แผลไหม้จากความร้อน/ไฟฟ้า
伤亡,shāng wáng,Casualty,ผู้บาดเจ็บและเสียชีวิต
持证上岗,chí zhèng shàng gǎng,Certified / Licensed to Work,ต้องมีใบรับรองก่อนเริ่มงาน
化学飞溅,huà xué fēi jiàn,Chemical Splash,สารเคมีกระเด็นใส่ตัว
规范要求,guī fàn yāo qiú,Code Compliance Requirements,ข้อกำหนดตามมาตรฐาน
色盲,sè máng,Color Blindness,ตาบอดสี
组合接地,zǔ hé jiē dì,Combined Grounding,การต่อกราวด์แบบผสม
自满,zì mǎn,Complacency,ความประมาท (complacency)
工程施工过程,gōng chéng shī gōng guò chéng,Construction Process,กระบวนการก่อสร้าง
施工安全,shī gōng ān quán,Construction Safety,ความปลอดภัยในการก่อสร้าง
易污作业,yì wū zuò yè,Contamination-Prone Work,งานที่เสี่ยงต่อการปนเปื้อน
企业安全、环境与健康业绩,"qǐ yè ān quán, huán jìng yǔ jiàn kāng yè jì","Corporate Safety, Environmental and Health Performance",ผลการดำเนินงานด้านความปลอดภัย สิ่งแวดล้อม และสุขภาพขององค์กร
腐蚀性作业,fǔ shí xìng zuò yè,Corrosive Work,งานที่มีความเสี่ยงต่อการกัดกร่อน
重大操作,zhòng dà cāo zuò,Critical Operation,การปฏิบัติงานที่มีความสำคัญ (critical operation)
砸伤,zá shāng,Crush / Impact Injury,บาดเจ็บจากการถูกกระแทกหรือทับ
通电时间,tōng diàn shí jiān,Current Exposure Duration,ระยะเวลาที่สัมผัสกระแสไฟฟ้า
电流强度,diàn liú qiáng dù,Current Intensity,ความเข้มของกระแสไฟฟ้า
瓶帽,píng mào,Cylinder Cap,ฝาครอบถังแก๊ส
全日重量,quán rì zhòng liàng,Daily Cumulative Weight,น้ำหนักรวมที่ยกทั้งวัน
劳动厅,láo dòng tīng,Department of Labor,กรมแรงงาน
钻孔,zuān kǒng,Drilling,การเจาะรู
电流对人体的作用,diàn liú duì rén tǐ de zuò yòng,Effects of Electric Current on the Body,ผลของกระแสไฟฟ้าต่อร่างกาย
EHS作用,EHS zuò yòng,EHS Function/Purpose,หน้าที่ของ EHS
EHS简介,EHS jiǎn jiè,EHS Introduction,แนะนำ EHS
EHS管理体系,EHS guǎn lǐ tǐ xì,EHS Management System,ระบบบริหารจัดการ EHS
触电,chù diàn,Electric Shock,ไฟฟ้าดูด (electric shock)
电焊,diàn hàn,Electric Welding / Arc Welding,การเชื่อมไฟฟ้า (electric welding)
电焊气割,diàn hàn qì gē,Electric Welding and Gas Cutting,การเชื่อมไฟฟ้าและตัดด้วยแก๊ส
电弧,diàn hú,Electrical Arc,อาร์กไฟฟ้า (electrical arc)
电气规范,diàn qì guī fàn,Electrical Code,มาตรฐานทางไฟฟ้า (electrical code)
电气安全,diàn qì ān quán,Electrical Safety,ความปลอดภัยด้านไฟฟ้า
触电/灼伤风险,chù diàn / zhuó shāng fēng xiǎn,Electrical Shock/Burn Hazard,อันตรายไฟฟ้าดูด/ไฟไหม้
电工证,diàn gōng zhèng,Electrician Certificate,ใบรับรองช่างไฟฟ้า
电工操作证,diàn gōng cāo zuò zhèng,Electrician Operation Permit,ใบอนุญาตปฏิบัติงานช่างไฟฟ้า
电工从业资格证,diàn gōng cóng yè zī gé zhèng,Electrician Professional Qualification Certificate,ใบรับรองคุณวุฒิวิชาชีพช่างไฟฟ้า
电解液漏液,diàn jiě yè lòu yè,Electrolyte Leakage,สารอิเล็กโทรไลต์รั่วซึม
电解液外溢,diàn jiě yè wài yì,Electrolyte Spill,สารอิเล็กโทรไลต์รั่วไหลออกมา
电磁辐射,diàn cí fú shè,Electromagnetic Radiation,รังสีแม่เหล็กไฟฟ้า
应急处理流程,yìng jí chù lǐ liú chéng,Emergency Procedure,ขั้นตอนการรับมือเหตุฉุกเฉิน
应急响应,yìng jí xiǎng yìng,Emergency Response,การตอบสนองเหตุฉุกเฉิน
员工的健康与安全,yuán gōng de jiàn kāng yǔ ān quán,Employee Health and Safety,สุขภาพและความปลอดภัยของพนักงาน
环境,huán jìng,Environment,สิ่งแวดล้อม
EHS（环境、健康与安全）,huán jìng jiàn kāng yǔ ān quán,"Environment, Health and Safety (EHS)",งานด้านสิ่งแวดล้อม สุขภาพ และความปลอดภัย (EHS)
环境污染,huán jìng wū rǎn,Environmental Pollution,มลพิษต่อสิ่งแวดล้อม
环境安全,huán jìng ān quán,Environmental Safety,ความปลอดภัยด้านสิ่งแวดล้อม
设备安全,shè bèi ān quán,Equipment Safety,ความปลอดภัยของอุปกรณ์
疏散,shū sàn,Evacuation,การอพยพ
眼病,yǎn bìng,Eye Disease / Injury (welder's flash),โรคตาจากแสงเชื่อม (welder's flash)
眼睛走神,yǎn jing zǒu shén,Eyes Not on Task,สายตาไม่จดจ่อกับงาน
坠落,zhuì luò,Fall (from height),การตกจากที่สูง
坠落高度基准面,zhuì luò gāo dù jī zhǔn miàn,Fall Height Reference Plane,ระนาบอ้างอิงความสูงจากการตก
物体坠落、撞击,"wù tǐ zhuì luò, zhuàng jī","Falling Objects, Impact",วัตถุตกหล่นและการกระแทก
死亡,sǐ wáng,Fatality / Death,เสียชีวิต
疲劳,pí láo,Fatigue,ความเหนื่อยล้า
碎屑飞溅,suì xiè fēi jiàn,Flying Debris / Splashing Fragments,เศษวัสดุกระเด็น
骨折,gǔ zhé,Fracture,กระดูกหัก
冻伤,dòng shāng,Frostbite,แผลจากความเย็นจัด (frostbite)
受挫,shòu cuò,Frustration,ความคับข้องใจ (frustration)
气瓶,qì píng,Gas Cylinder,ถังแก๊ส (gas cylinder)
气焊,qì hàn,Gas Welding,การเชื่อมแก๊ส (gas welding)
气焊和气割场所,qì hàn hé qì gē chǎng suǒ,Gas Welding and Cutting Site,พื้นที่งานเชื่อมและตัดแก๊ส
气焊安全,qì hàn ān quán,Gas Welding Safety,ความปลอดภัยในการเชื่อมแก๊ส
通用安全,tōng yòng ān quán,General Safety,ความปลอดภัยทั่วไป
地线,dì xiàn,Ground Wire,สายกราวด์ (ground wire)
接地,jiē dì,Grounded,ต่อสายดินแล้ว (grounded)
接地、接零保护,"jiē dì, jiē líng bǎo hù",Grounding / Neutral (PE) Protection,การป้องกันแบบต่อกราวด์และต่อสายศูนย์
接地导体,jiē dì dǎo tǐ,Grounding Conductor,ตัวนำสายกราวด์ (grounding conductor)
接地要求,jiē dì yāo qiú,Grounding Requirements,ข้อกำหนดเรื่องการต่อกราวด์ (grounding)
接地电阻,jiē dì diàn zǔ,Grounding Resistance,ความต้านทานสายกราวด์
装设接地线注意事项,zhuāng shè jiē dì xiàn zhù yì shì xiàng,Grounding Wire Installation Precautions,ข้อควรระวังในการติดตั้งสายกราวด์
接零接地保护,jiē líng jiē dì bǎo hù,Grounding/Earthing Protection,การป้องกันด้วยการต่อกราวด์
搬运事故,bān yùn shì gù,Handling Accident,อุบัติเหตุจากการยกของ
搬运方式,bān yùn fāng shì,Handling Method,วิธีการยกและเคลื่อนย้ายของ
悬挂标识牌,xuán guà biāo shí pái,Hanging Warning / Lockout Tag,การแขวนป้ายเตือน/ป้ายล็อก
有害物质和能量,yǒu hài wù zhì hé néng liàng,Harmful Substances and Energy,สารและพลังงานที่เป็นอันตราย
危化品腐蚀,wēi huà pǐn fǔ shí,Hazardous Chemical Corrosion,การกัดกร่อนจากสารเคมีอันตราย
危险材料处置,wēi xiǎn cái liào chǔ zhì,Hazardous Material Disposal,การกำจัดวัสดุอันตราย
危险工艺,wēi xiǎn gōng yì,Hazardous Process,กระบวนการที่มีความเสี่ยงอันตราย
健康,jiàn kāng,Health,สุขภาพ
健康危害,jiàn kāng wēi hài,Health Hazard,อันตรายต่อสุขภาพ
心脏病,xīn zàng bìng,Heart Disease,โรคหัวใจ
中暑,zhòng shǔ,Heatstroke,ลมแดด (heatstroke)
海因里希法则,hǎi yīn lǐ xī fǎ zé,Heinrich's Law,กฎของไฮน์ริช (Heinrich's Law)
高温灼烫作业,gāo wēn zhuó tàng zuò yè,High-Temperature Scalding/Burn Hazard Work,งานที่มีความเสี่ยงต่อการถูกลวกหรือไหม้จากความร้อนสูง
带电作业,dài diàn zuò yè,Hot Work,งานที่ทำขณะมีไฟฟ้า (hot work)
华为认证或授权的人员,huá wéi rèn zhèng huò shòu quán de rén yuán,Huawei Certified or Authorized Personnel,บุคลากรที่ได้รับการรับรองหรืออนุญาตจาก Huawei
人体电阻,rén tǐ diàn zǔ,Human Body Resistance,ความต้านทานไฟฟ้าของร่างกายมนุษย์
人为失误,rén wéi shī wù,Human Error,ความผิดพลาดจากมนุษย์
装设遮拦,zhuāng shè zhē lán,Installing Barriers / Guardrails,การติดตั้งแผงกั้น/ราวกันตก
装设接地线,zhuāng shè jiē dì xiàn,Installing Grounding Cable,การติดตั้งสายกราวด์ชั่วคราว
绝缘状况,jué yuán zhuàng kuàng,Insulation Condition,สภาพฉนวนไฟฟ้า
绝缘电阻,jué yuán diàn zǔ,Insulation Resistance,ความต้านทานฉนวนไฟฟ้า
联锁装置,lián suǒ zhuāng zhì,Interlock Device,อุปกรณ์ล็อกอินเตอร์ล็อก (interlock)
划伤,huá shāng,Laceration / Cut Injury,แผลบาด
激光,jī guāng,Laser,เลเซอร์
法律、法规,"fǎ lǜ, fǎ guī",Laws and Regulations,กฎหมายและระเบียบข้อบังคับ
平面布置,píng miàn bù zhì,Layout Planning,การวางผังพื้นที่
摆脱电流,bǎi tuō diàn liú,Let-Go Current,กระแสไฟฟ้าระดับที่ยังหลุดมือได้
致命电流,zhì mìng diàn liú,Lethal Current,กระแสไฟฟ้าที่ทำให้เสียชีวิต
生命安全,shēng mìng ān quán,Life Safety,ความปลอดภัยต่อชีวิต (life safety)
