chinese,pinyin,english,thai
防腐蚀液护目镜,fáng fǔ shí yè hù mù jìng,Anti-Corrosive Liquid Safety Goggles,แว่นตานิรภัยกันสารกัดกร่อน
防冻手套,fáng dòng shǒu tào,Anti-Frost Gloves,ถุงมือกันเยือกแข็ง
防静电地面,fáng jìng diàn dì miàn,Anti-Static (ESD) Flooring,พื้นกันไฟฟ้าสถิต (ESD flooring)
防静电松紧带,fáng jìng diàn sōng jǐn dài,Anti-Static Elastic Band,สายยางยืดกันไฟฟ้าสถิต
防静电手套,fáng jìng diàn shǒu tào,Anti-Static Gloves,ถุงมือกันไฟฟ้าสถิต (anti-static gloves)
防静电措施,fáng jìng diàn cuò shī,Anti-Static Measures / ESD Protection,มาตรการป้องกันไฟฟ้าสถิต (ESD)
防静电鞋,fáng jìng diàn xié,Anti-Static Shoes,รองเท้าป้องกันไฟฟ้าสถิต
防静电鞋/袜,fáng jìng diàn xié / wà,Anti-Static Shoes / Socks,รองเท้า/ถุงเท้ากันไฟฟ้าสถิต
防静电工帽,fáng jìng diàn gōng mào,Anti-Static Work Cap,หมวกทำงานป้องกันไฟฟ้าสถิต
防静电工作服,fáng jìng diàn gōng zuò fú,Anti-Static Work Clothing,ชุดทำงานกันไฟฟ้าสถิต (anti-static)
防静电腕带,fáng jìng diàn wàn dài,Anti-Static Wrist Strap,สายรัดข้อมือกันไฟฟ้าสถิต (anti-static wrist strap)
化学品防护服,huà xué pǐn fáng hù fú,Chemical Protective Clothing,ชุดป้องกันสารเคมี
防化学手套,fáng huà xué shǒu tào,Chemical-Resistant Gloves,ถุงมือกันสารเคมี
防化学品鞋,fáng huà xué pǐn xié,Chemical-Resistant Shoes,รองเท้ากันสารเคมี
防寒手套,fáng hán shǒu tào,Cold-Protection Gloves,ถุงมือกันหนาว
耐寒手套,nài hán shǒu tào,Cold-Resistant Gloves,ถุงมือทนความเย็น
防寒服,fáng hán fú,Cold-Weather Protective Clothing,ชุดกันหนาว
棉纱手套,mián shā shǒu tào,Cotton Gloves,ถุงมือผ้าฝ้าย
防割手套,fáng gē shǒu tào,Cut-Resistant Gloves,ถุงมือกันบาด
专用绝缘工具,zhuān yòng jué yuán gōng jù,Dedicated Insulated Tools,เครื่องมือฉนวนสำหรับใช้เฉพาะงาน
电绝缘鞋,diàn jué yuán xié,Electrically Insulating Shoes,รองเท้าฉนวนกันไฟฟ้า
眼面部防护,yǎn miàn bù fáng hù,Eye and Face Protection,การป้องกันดวงตาและใบหน้า
眼睛保护装置,yǎn jīng bǎo hù zhuāng zhì,Eye Protection Device,อุปกรณ์ป้องกันดวงตา
人体从高处坠落,rén tǐ cóng gāo chù zhuì luò,Fall from Height,การตกจากที่สูง
防坠落防护用品,fáng zhuì luò fáng hù yòng pǐn,Fall Protection Equipment,อุปกรณ์ป้องกันการตกจากที่สูง
指套,zhǐ tào,Finger Cots,ปลอกนิ้ว (finger cots)
足部防护,zú bù fáng hù,Foot Protection,การป้องกันเท้า
足部防护用品,zú bù fáng hù yòng pǐn,Foot Protective Equipment,อุปกรณ์ป้องกันเท้า
防毒面具,fáng dú miàn jù,Gas Mask / Respirator,หน้ากากป้องกันแก๊สพิษ (gas mask)
手部防护,shǒu bù fáng hù,Hand Protection,การป้องกันมือ
手部防护用品,shǒu bù fáng hù yòng pǐn,Hand Protective Equipment,อุปกรณ์ป้องกันมือ
危险和有害因素,wēi xiǎn hé yǒu hài yīn sù,Hazardous and Harmful Factors,ปัจจัยที่เป็นอันตรายและเป็นภัยต่อสุขภาพ
头部防护,tóu bù fáng hù,Head Protection,การป้องกันศีรษะ
耐热耐寒手套,nài rè nài hán shǒu tào,Heat and Cold-Resistant Gloves,ถุงมือทนความร้อนและความเย็น
耐高温手套,nài gāo wēn shǒu tào,Heat-Resistant Gloves,ถุงมือทนความร้อนสูง
耐高温鞋,nài gāo wēn xié,Heat-Resistant Shoes,รองเท้าทนความร้อนสูง
防冲击护目镜,fáng chōng jī hù mù jìng,Impact-Resistant Safety Goggles,แว่นตานิรภัยกันแรงกระแทก
防砸鞋,fáng zá xié,Impact-Resistant Safety Shoes / Steel-Toe Shoes,รองเท้านิรภัยหัวเหล็ก (steel-toe shoes)
绝缘服,jué yuán fú,Insulating Clothing,ชุดฉนวนกันไฟฟ้า
绝缘手套,jué yuán shǒu tào,Insulating Gloves,ถุงมือฉนวนกันไฟฟ้า (insulating gloves)
绝缘鞋,jué yuán xié,Insulating Shoes,รองเท้าฉนวนกันไฟฟ้า
PPE防护简介,PPE fáng hù jiǎn jiè,Introduction to PPE Protection,แนะนำการป้องกันด้วยอุปกรณ์ PPE
劳动防护用品,láo dòng fáng hù yòng pǐn,Labor Protective Equipment,อุปกรณ์ป้องกันภัยแรงงาน
防激光眼镜,fáng jī guāng yǎn jìng,Laser Safety Glasses,แว่นตานิรภัยกันเลเซอร์
带电作业屏蔽服,dài diàn zuò yè píng bì fú,Live-Work Shielding Suit / Conductive Suit,ชุดป้องกันสนามไฟฟ้าสำหรับงานที่มีไฟ (shielding suit)
防机械伤害手套（防割手套）,fáng jī xiè shāng hài shǒu tào,Mechanical Protection Gloves (Cut-Resistant Gloves),ถุงมือป้องกันการบาดเจ็บจากเครื่องจักร (ถุงมือกันบาด)
个人防护用品,gè rén fáng hù yòng pǐn,Personal Protective Equipment (PPE),อุปกรณ์ป้องกันภัยส่วนบุคคล (PPE)
PPE的定义,PPE de dìng yì,PPE Definition,นิยามของ PPE
PPE作用及定义,PPE zuò yòng jí dìng yì,PPE Function and Definition,หน้าที่และคำจำกัดความของ PPE
PPE的作用,PPE de zuò yòng,PPE Purpose / Function,หน้าที่ของ PPE
不同作业场景下PPE使用,bù tóng zuò yè chǎng jǐng xià PPE shǐ yòng,PPE Usage by Work Scenario,การใช้ PPE ตามสถานการณ์งานที่ต่างกัน
产品合格证,chǎn pǐn hé gé zhèng,Product Certificate of Conformity,ใบรับรองสินค้าได้มาตรฐาน
生产许可证,shēng chǎn xǔ kě zhèng,Production License,ใบอนุญาตผลิต
防护服,fáng hù fú,Protective Clothing,ชุดป้องกัน (protective clothing)
防护用品,fáng hù yòng pǐn,Protective Equipment,อุปกรณ์ป้องกัน
防护面罩,fáng hù miàn zhào,Protective Face Shield,หน้ากากป้องกันใบหน้า (face shield)
护具,hù jù,Protective Gear,อุปกรณ์ป้องกันร่างกาย
保护手套,bǎo hù shǒu tào,Protective Gloves,ถุงมือป้องกัน
保护电阻,bǎo hù diàn zǔ,Protective Resistor,ตัวต้านทานป้องกัน
防刺穿鞋,fáng cì chuān xié,Puncture-Resistant Shoes,รองเท้ากันวัสดุแทงทะลุ
橡胶手套,xiàng jiāo shǒu tào,Rubber Gloves,ถุงมือยาง
橡胶防护手套,xiàng jiāo fáng hù shǒu tào,Rubber Protective Gloves,ถุงมือยางป้องกัน
防护眼镜,fáng hù yǎn jìng,Safety Glasses,แว่นตานิรภัย (safety glasses)
护目镜,hù mù jìng,Safety Goggles,แว่นตานิรภัย (safety goggles)
安全带,ān quán dài,Safety Harness / Safety Belt,เข็มขัดนิรภัย / สายรัดนิรภัย (safety harness)
安全头盔,ān quán tóu kuī,Safety Helmet,หมวกนิรภัย
安全帽,ān quán mào,Safety Helmet / Hard Hat,หมวกนิรภัย (safety helmet)
安全标志证（安全鉴定证）,ān quán biāo zhì zhèng,Safety Mark Certificate (Safety Appraisal Certificate),ใบรับรองเครื่องหมายความปลอดภัย
安全网,ān quán wǎng,Safety Net,ตาข่ายนิรภัย (safety net)
特种防护用品,tè zhǒng fáng hù yòng pǐn,Special Protective Equipment,อุปกรณ์ป้องกันภัยชนิดพิเศษ
作业与应使用PPE对照表,zuò yè yǔ yīng shǐ yòng PPE duì zhào biǎo,Task-to-PPE Requirement Table,ตารางเทียบงานกับ PPE ที่ต้องใช้
三证,sān zhèng,"Three Certificates (Production License, Product Certificate, Safety Mark Certificate)",สามใบรับรอง (ใบอนุญาตผลิต ใบรับรองสินค้า ใบรับรองมาตรฐานความปลอดภัย)
焊接面罩,hàn jiē miàn zhào,Welding Face Shield / Welding Mask,หน้ากากเชื่อม (welding mask)
准确,zhǔn què,Accurate,แม่นยำ
适应性/可扩展性,shì yìng xìng / kě kuò zhǎn xìng,Adaptability / Scalability,ความสามารถในการปรับตัวและขยายระบบ
敏捷数据中心,mǐn jié shù jù zhōng xīn,Agile Data Center,ดาต้าเซ็นเตอร์แบบ agile
应用层,yìng yòng céng,Application Layer,ชั้นแอปพลิเคชัน (application layer)
人工智能,rén gōng zhì néng,Artificial Intelligence (AI),ปัญญาประดิษฐ์ (AI)
自动化,zì dòng huà,Automation,ระบบอัตโนมัติ
可用性,kě yòng xìng,Availability,ความพร้อมใช้งาน (availability)
可用性预期,kě yòng xìng yù qī,Availability Expectations,ความคาดหวังด้านความพร้อมใช้งาน
大数据,dà shù jù,Big Data,ข้อมูลขนาดใหญ่ (big data)
构建模块,gòu jiàn mó kuài,Building Blocks,องค์ประกอบพื้นฐาน (building blocks)
业务敏捷性,yè wù mǐn jié xìng,Business Agility,ความคล่องตัวทางธุรกิจ
商业价值,shāng yè jià zhí,Business Value,คุณค่าทางธุรกิจ
关键业务应用,guān jiàn yè wù yìng yòng,Business-Critical Applications,แอปพลิเคชันที่สำคัญต่อธุรกิจ
资本投资,zī běn tóu zī,Capital Investment,การลงทุนด้านทุน (capital investment)
托管服务,tuō guǎn fú wù,Colocation,บริการโคโลเคชั่น (colocation)
托管租户,tuō guǎn zū hù,Colocation Tenant,ผู้เช่าพื้นที่โคโลเคชั่น
兼容性问题,jiān róng xìng wèn tí,Compatibility Issues,ปัญหาความเข้ากันได้
竞争优势,jìng zhēng yōu shì,Competitive Advantage,ความได้เปรียบทางการแข่งขัน
竞争能力,jìng zhēng néng lì,Competitiveness,ความสามารถในการแข่งขัน
全面,quán miàn,Comprehensive,ครอบคลุมทุกด้าน
计算、网络与存储资源,"jì suàn, wǎng luò yǔ cún chǔ zī yuán","Computing, Network, and Storage Resources",ทรัพยากรด้านการประมวลผล เครือข่าย และจัดเก็บข้อมูล
企业名誉,qǐ yè míng yù,Corporate Reputation,ชื่อเสียงขององค์กร
成本,chéng běn,Cost,ต้นทุน
成本效益,chéng běn xiào yì,Cost-Effectiveness,ความคุ้มค่าด้านต้นทุน
手工业思维,shǒu gōng yè sī wéi,Craft Industry Mindset,แนวคิดแบบงานฝีมือดั้งเดิม
定制化系统,dìng zhì huà xì tǒng,Custom-Designed Systems,ระบบที่ออกแบบเฉพาะทาง
数据中心,shù jù zhōng xīn,Data Center,ศูนย์ข้อมูล (data center)
数据中心整合,shù jù zhōng xīn zhěng hé,Data Center Consolidation,การรวมศูนย์ data center
数据中心基础设施,shù jù zhōng xīn jī chǔ shè shī,Data Center Infrastructure,โครงสร้างพื้นฐานดาต้าเซ็นเตอร์
数据中心停机,shù jù zhōng xīn tíng jī,Data Center Shutdown,การหยุดทำงานของดาต้าเซ็นเตอร์
数据处理、存储与通信系统,"shù jù chǔ lǐ, cún chǔ yǔ tōng xìn xì tǒng","Data Processing, Storage, and Communications Systems",ระบบประมวลผล จัดเก็บ และสื่อสารข้อมูล
桌面云,zhuō miàn yún,Desktop Cloud,เดสก์ท็อปคลาวด์ (desktop cloud)
分布运算,fēn bù yùn suàn,Distributed Computing,การประมวลผลแบบกระจาย
停机时间,tíng jī shí jiān,Downtime,เวลาที่ระบบหยุดทำงาน (downtime)
教育云,jiào yù yún,Education Cloud,คลาวด์เพื่อการศึกษา
高效,gāo xiào,Efficient,มีประสิทธิภาพ
设备资源,shè bèi zī yuán,Equipment Resources,ทรัพยากรอุปกรณ์
可扩展的,kě kuò zhǎn de,Expandable,สามารถขยายได้ (expandable)
基础理论,jī chǔ lǐ lùn,Fundamental Theory,ทฤษฎีพื้นฐาน
政府云,zhèng fǔ yún,Government Cloud,คลาวด์ภาครัฐ
整体化方法,zhěng tǐ huà fāng fǎ,Holistic Approach,แนวทางแบบองค์รวม
混合数据中心架构,hùn hé shù jù zhōng xīn jià gòu,Hybrid Data Center Architecture,สถาปัตยกรรม data center แบบไฮบริด
ICT设备,ICT shè bèi,ICT Equipment,อุปกรณ์ ICT
室内,shì nèi,Indoor,ภายในอาคาร
信息技术,xìn xī jì shù,Information Technology (IT),เทคโนโลยีสารสนเทศ (IT)
基础设施,jī chǔ shè shī,Infrastructure,โครงสร้างพื้นฐาน
基础设施层,jī chǔ shè shī céng,Infrastructure Layer,ชั้นโครงสร้างพื้นฐาน
机房内,jī fáng nèi,Inside Equipment Room,ภายในห้องเครื่อง
智能,zhì néng,Intelligent,อัจฉริยะ (smart/intelligent)
IT架构,IT jià gòu,IT Architecture,สถาปัตยกรรม IT
IT设施层,IT shè shī céng,IT Facility Layer,ชั้นสิ่งอำนวยความสะดวกด้าน IT
IT基础设施,IT jī chǔ shè shī,IT Infrastructure,โครงสร้างพื้นฐานด้าน IT
IT设备更新,IT shè bèi gēng xīn,IT Refresh,การอัปเกรดอุปกรณ์ IT (IT refresh)
IT需求,IT xū qiú,IT Requirements,ความต้องการด้าน IT
L1 基础设施层,L1 jī chǔ shè shī céng,L1 Infrastructure Layer (power/cooling/fire/water),ชั้น L1 โครงสร้างพื้นฐาน (ไฟฟ้า/ความเย็น/ดับเพลิง/น้ำ)
L2 IT设施层,L2 IT shè shī céng,L2 IT Facility Layer (server/storage/network),ชั้น L2 โครงสร้าง IT (server/storage/network)
L4 应用层,L4 yìng yòng céng,L4 Application Layer (desktop/education/government/learning cloud),ชั้น L4 แอปพลิเคชัน (desktop/education/government/learning cloud)
学习云,xué xí yún,Learning Cloud,คลาวด์เพื่อการเรียนรู้
生命周期成本,shēng mìng zhōu qī chéng běn,Lifecycle Cost,ต้นทุนตลอดวงจรชีวิต
全生命周期成本,quán shēng mìng zhōu qī chéng běn,Lifecycle Costs,ต้นทุนตลอดวงจรชีวิต
照明系统,zhào míng xì tǒng,Lighting System,ระบบไฟส่องสว่าง
关键任务,guān jiàn rèn wù,Mission Critical,งานที่มีความสำคัญสูงสุด (mission critical)
关键任务设施,guān jiàn rèn wù shè shī,Mission-Critical Installations,ระบบงานที่สำคัญยิ่งยวด (mission-critical)
模块化,mó kuài huà,Modular,แบบโมดูลาร์ (modular)
模块化组件,mó kuài huà zǔ jiàn,Modular Components,ชิ้นส่วนแบบโมดูลาร์
多租户数据中心,duō zū hù shù jù zhōng xīn,Multi-Tenant Data Center,ดาต้าเซ็นเตอร์แบบหลายผู้เช่า
网络,wǎng luò,Network,เครือข่าย (network)
操作系统层,cāo zuò xì tǒng céng,Operating System Layer,ชั้นระบบปฏิบัติการ (OS layer)
其他系统,qí tā xì tǒng,Other Systems,ระบบอื่น ๆ
停电/中断,tíng diàn / zhōng duàn,Outages,ไฟดับ / เหตุขัดข้อง
室外,shì wài,Outdoor,ภายนอกอาคาร
机房外,jī fáng wài,Outside Equipment Room,ภายนอกห้องเครื่อง
过度设计/超配,guò dù shè jì / chāo pèi,Oversizing,การออกแบบเผื่อเกินความจำเป็น (oversizing)
并行运算,bìng xíng yùn suàn,Parallel Computing,การประมวลผลแบบขนาน
人员,rén yuán,People,บุคลากร (people)
物理基础设施,wù lǐ jī chǔ shè shī,Physical Infrastructure,โครงสร้างพื้นฐานทางกายภาพ
物理基础设施要素,wù lǐ jī chǔ shè shī yào sù,Physical Infrastructure Elements,องค์ประกอบโครงสร้างพื้นฐานทางกายภาพ
预工程化解决方案,yù gōng chéng huà jiě jué fāng àn,Pre-engineered Solution,โซลูชันที่ออกแบบสำเร็จรูปล่วงหน้า
预工程化,yù gōng chéng huà,Pre-Engineering,การออกแบบวิศวกรรมล่วงหน้า
预制解决方案,yù zhì jiě jué fāng àn,Pre-Manufactured Solutions,โซลูชันสำเร็จรูปจากโรงงาน (pre-manufactured)
公共和社会关系,gōng gòng hé shè huì guān xì,Public and Community Relations,ความสัมพันธ์กับสาธารณะและชุมชน
IT技术快速变化,IT jì shù kuài sù biàn huà,Rapid Changes in IT Technology,การเปลี่ยนแปลงเทคโนโลยี IT อย่างรวดเร็ว
可靠性,kě kào xìng,Reliability,ความน่าเชื่อถือของระบบ
适配尺寸系统,shì pèi chǐ cùn xì tǒng,Right Sized System,ระบบที่ออกแบบขนาดพอดีกับความต้องการ
投资回报率,tóu zī huí bào lǜ,ROI (Return on Investment),ผลตอบแทนจากการลงทุน (ROI)
服务器,fú wù qì,Server,เซิร์ฟเวอร์
服务器整合,fú wù qì zhěng hé,Server Consolidation,การรวมเซิร์ฟเวอร์
单点故障,dān diǎn gù zhàng,Single Point of Failure,จุดที่เสียแล้วระบบทั้งหมดล่ม (single point of failure)
标准化,biāo zhǔn huà,Standardization,การกำหนดมาตรฐาน (standardization)
存储,cún chǔ,Storage,ระบบจัดเก็บข้อมูล (storage)
系统架构,xì tǒng jià gòu,System Architecture,สถาปัตยกรรมของระบบ
技术更新换代,jì shù gēng xīn huàn dài,Technology Refresh,การอัปเกรดเทคโนโลยี (technology refresh)
技术趋势,jì shù qū shì,Technology Trends,แนวโน้มเทคโนโลยี
电信网络,diàn xìn wǎng luò,Telecommunication Networks,เครือข่ายโทรคมนาคม
总拥有成本,zǒng yōng yǒu chéng běn,Total Cost of Ownership (TCO),ต้นทุนรวมในการเป็นเจ้าของ (TCO)
传统数据中心物理基础设施,chuán tǒng shù jù zhōng xīn wù lǐ jī chǔ shè shī,Traditional Data Center Physical Infrastructure,โครงสร้างพื้นฐาน data center แบบดั้งเดิม
配置不足,pèi zhì bù zú,Under-Sizing,การออกแบบไม่เพียงพอ (under-sizing)
正常运行时间,zhèng cháng yùn xíng shí jiān,Uptime,เวลาที่ระบบทำงานได้ปกติ (uptime)
虚拟化,xū nǐ huà,Virtualization,ระบบ virtualization (การจำลองเสมือน)
工作效率,gōng zuò xiào lǜ,Work Efficiency,ประสิทธิภาพในการทำงาน
劳动者,láo dòng zhě,Worker / Laborer,ผู้ใช้แรงงาน
机房,jīfáng,Server Room / Equipment Room,ห้องเซิร์ฟเวอร์ / ห้องเครื่อง
机柜 / 机架,jīguì / jījià,Rack / Cabinet,ตู้แร็ค
值班,zhíbān,On-Duty Shift,เข้าเวร / อยู่เวร
巡检,xúnjiǎn,Inspection / Patrol,การตรวจตรา / เดินตรวจ
工单,gōngdān,Work Order / Ticket,ใบสั่งงาน
故障,gùzhàng,Fault / Failure,ความขัดข้อง / เสีย
告警 / 报警,gàojǐng / bàojǐng,Alarm,สัญญาณเตือน
应急预案,yìngjí yù'àn,Emergency Plan,แผนฉุกเฉิน
标准作业程序 (SOP),biāozhǔn zuòyè chéngxù,Standard Operating Procedure (SOP),ขั้นตอนปฏิบัติงานมาตรฐาน (SOP)
在线率 / 正常运行时间,zàixiànlǜ / zhèngcháng yùnxíng shíjiān,Uptime,อัตราการออนไลน์ / เวลาทำงานปกติ
交接班,jiāojiēbān,Shift Handover,ส่งมอบเวร / เปลี่ยนกะ
闭环,bìhuán,Closed-Loop,ปิดงานครบวงจร / ปิดลูป
柴油发电机,cháiyóu fādiànjī,Diesel Generator,เครื่องกำเนิดไฟฟ้าดีเซล
配电柜,pèidiànguì,Power Distribution Cabinet,ตู้จ่ายไฟ
高压 / 低压,gāoyā / dīyā,High / Low Voltage,แรงดันสูง / แรงดันต่ำ
双路供电,shuānglù gòngdiàn,Dual Power Feed,จ่ายไฟสองทาง
自动转换开关 (ATS),zìdòng zhuǎnhuàn kāiguān,Automatic Transfer Switch (ATS),สวิตช์สลับแหล่งจ่ายไฟอัตโนมัติ (ATS)
负载 / 负荷,fùzài / fùhè,Load,โหลด / ภาระไฟฟ้า
蓄冷罐,xùlěngguàn,Thermal Storage Tank,ถังกักเก็บความเย็น
冷冻水系统,lěngdòngshuǐ xìtǒng,Chilled Water System,ระบบน้ำเย็น
风冷 / 水冷,fēnglěng / shuǐlěng,Air Cooling / Water Cooling,ระบายความร้อนด้วยลม / น้ำ
液冷,yèlěng,Liquid Cooling,ระบายความร้อนด้วยของเหลว
冷通道 / 热通道,lěng tōngdào / rè tōngdào,Cold Aisle / Hot Aisle,ช่องทางเย็น / ช่องทางร้อน
温湿度,wēnshīdù,Temperature & Humidity,อุณหภูมิและความชื้น
新风系统,xīnfēng xìtǒng,Fresh Air System,ระบบอากาศบริสุทธิ์
冷板式液冷,lěngbǎnshì yèlěng,Cold Plate Liquid Cooling,ระบายความร้อนด้วยของเหลวแบบ cold plate
光纤,guāngxiān,Optical Fiber,ไฟเบอร์ออปติก / ใยแก้วนำแสง
带宽,dàikuān,Bandwidth,แบนด์วิดท์
网络设备,wǎngluò shèbèi,Network Equipment,อุปกรณ์เครือข่าย
云计算,yúnjìsuàn,Cloud Computing,คลาวด์คอมพิวติ้ง
算力,suànlì,Computing Power,พลังประมวลผล
智算中心,zhìsuàn zhōngxīn,AI / Intelligent Computing Center,ศูนย์ประมวลผลอัจฉริยะ (AI)
上架 / 下架,shàngjià / xiàjià,Rack In / Rack Out,ติดตั้ง / ถอดอุปกรณ์เข้า-ออกแร็ค
气体灭火,qìtǐ mièhuǒ,Gas Fire Suppression,ดับเพลิงด้วยแก๊ส
门禁系统,ménjìn xìtǒng,Access Control System,ระบบควบคุมประตู
监控系统,jiānkòng xìtǒng,Monitoring / CCTV System,ระบบมอนิเตอร์ / กล้องวงจรปิด
动环监控,dònghuán jiānkòng,Power & Environment Monitoring,มอนิเตอร์ไฟฟ้าและสภาพแวดล้อม
安全规范,ānquán guīfàn,Safety Regulations,ระเบียบความปลอดภัย
事故上报,shìgù shàngbào,Incident Escalation / Reporting,รายงานเหตุ / รายงานอุบัติการณ์
电能使用效率 (PUE),diànnéng shǐyòng xiàolǜ,Power Usage Effectiveness (PUE),ประสิทธิภาพการใช้พลังงานไฟฟ้า (PUE)
N+1 冗余,N jiā yī róngyú,N+1 Redundancy,สำรองแบบ N+1
2N,èr N,2N Redundancy,สำรองเท่าตัว (2N)
容错,róngcuò,Fault Tolerance,ทนต่อความผิดพลาด
轮班 / 倒班,lúnbān / dǎobān,Shift Rotation,ทำงานเป็นกะ / หมุนเวียนกะ
夜班 / 白班,yèbān / báibān,Night Shift / Day Shift,กะดึก / กะกลางวัน
薪资 / 工资,xīnzī / gōngzī,Salary,เงินเดือน
福利,fúlì,Benefits,สวัสดิการ
年终奖,niánzhōngjiǎng,Year-End Bonus,โบนัสปลายปี
试用期,shìyòngqī,Probation Period,ช่วงทดลองงาน
转正,zhuǎnzhèng,Become a Permanent Employee,บรรจุเป็นพนักงานประจำ
职业发展,zhíyè fāzhǎn,Career Development,ความก้าวหน้าในอาชีพ
数据中心的稳定运行是第一位的。,shùjù zhōngxīn de wěndìng yùnxíng shì dì-yī wèi de,Stable operation of the data center comes first.,ความเสถียรของดาต้าเซ็นเตอร์คือสิ่งสำคัญที่สุด
满足 / 满意,mǎnzú / mǎnyì,satisfy / satisfied,ทำให้พอใจ / รู้สึกพอใจ
实践 / 练习,shíjiàn / liànxí,practice,การฝึกฝน / การปฏิบัติ
迅速地,xùnsù de,rapidly,อย่างรวดเร็ว
蔓延 / 扩散,mànyán / kuòsàn,spreading,การแพร่กระจาย / ลุกลาม
底层的 / 潜在的,dǐcéng de / qiánzài de,underlying,ที่อยู่เบื้องหลัง / เป็นพื้นฐาน
出货量,chūhuòliàng,shipments,ปริมาณการจัดส่งสินค้า
专有的,zhuānyǒu de,proprietary,ที่เป็นกรรมสิทธิ์เฉพาะของบริษัท
保修,bǎoxiū,warranty,การรับประกัน
普通的,pǔtōng de,ordinary,ธรรมดา / ทั่วไป
善意的,shànyì de,well-intentioned,มีเจตนาดี
绝缘,juéyuán,insulation,ฉนวน / การเป็นฉนวนไฟฟ้า
静压腔（送风夹层）,jìngyāqiāng (sòngfēng jiācéng),plenum,ช่องทางลมเย็นของระบบ cooling (plenum)
表明 / 指示,biǎomíng / zhǐshì,indicate / indicates,บ่งชี้ / แสดงให้เห็น
事故 / 事件,shìgù / shìjiàn,incident,เหตุการณ์ / อุบัติการณ์
跨越 / 涵盖,kuàyuè / hángài,spans,ทอดข้าม / ครอบคลุม
展示 / 证明,zhǎnshì / zhèngmíng,demonstrate,แสดงให้เห็น / พิสูจน์
努力,nǔlì,effort,ความพยายาม
助理级 / 初级,zhùlǐ jí / chūjí,Associate level,ระดับเริ่มต้น (Associate)
云业务,yún yèwù,Cloud Business / Cloud Services,ธุรกิจ / บริการคลาวด์
体系,tǐxì,System / Framework,ระบบ / โครงสร้างเชิงระบบ
配电系统,pèidiàn xìtǒng,Power Distribution System,ระบบจ่ายไฟฟ้า
肺,fèi,Lung,ปอด
冷却,lěngquè,Cooling,การระบายความร้อน / ทำความเย็น
末端,mòduān,Terminal / End Unit,ส่วนปลาย / ยูนิตปลายทาง
冷池 / 热池,lěngchí / rèchí,Cold Pool / Hot Pool (aisle containment),พื้นที่ปิดล้อมช่องเย็น / ช่องร้อน
防护,fánghù,Protection,การป้องกัน
施工,shīgōng,Construction Work,การก่อสร้าง / งานติดตั้ง
从业人员,cóngyè rényuán,Practitioners / Working Personnel,ผู้ปฏิบัติงานในสายอาชีพ
配电段 (PC段),pèidiàn duàn,Power Distribution Section (PC Section),เซกชันจ่ายไฟ (PC section)
跳闸,tiàozhá,Trip (Breaker Trip),เบรกเกอร์ตัด / ทริป
焊工,hàngōng,Welder,ช่างเชื่อม
扛,káng,Carry on the Shoulder,แบก (บนบ่า/ไหล่)
违章,wéizhāng,Violation of Rules / Regulations,การฝ่าฝืนกฎระเบียบ
委员会,wěiyuánhuì,Committee,คณะกรรมการ
伏,fú,Volt (V),โวลต์
交流电,jiāoliúdiàn,Alternating Current (AC),ไฟฟ้ากระแสสลับ
活性物质,huó xìng wù zhì,Active Material,สารออกฤทธิ์ในแผ่นขั้ว (active material)
框架式断路器 (ACB),kuàng jià shì duàn lù qì,Air Circuit Breaker (ACB),เบรกเกอร์แบบเฟรม ACB (Air Circuit Breaker)
铝箔,lǚ bó,Aluminum Foil,แผ่นฟอยล์อะลูมิเนียม (aluminum foil)
防静电接地,fáng jìng diàn jiē dì,Anti-Static Grounding,กราวด์ป้องกันไฟฟ้าสถิต (anti-static grounding)
PC级/CB级ATS,PC jí / CB jí ATS,ATS Classification: PC-class vs CB-class,ATS ประเภท PC-class และ CB-class
ATS切换类型,ATS qiè huàn lèi xíng,ATS Switching Types (Standard/Delayed/Closed Transition),ประเภทการสลับของ ATS (standard/delayed/closed transition)
电池充电模式切换,diàn chí chōng diàn mó shì qiè huàn,Battery Charging Mode Switch (Equalizing/Float),การสลับโหมดชาร์จแบตเตอรี่ (equalizing/float)
电池充电电压温度补偿,diàn chí chōng diàn diàn yā wēn dù bǔ cháng,Battery Charging Voltage Temperature Compensation,การชดเชยแรงดันชาร์จแบตเตอรี่ตามอุณหภูมิ (temperature compensation)
双金属片,shuāng jīn shǔ piàn,Bimetal (Bimetallic Strip),แผ่นโลหะคู่ (bimetal strip)
粘合剂,nián hé jì,Binder,สารยึดเกาะ (binder)
电池低压下电,diàn chí dī yā xià diàn,BLVD (Battery Low Voltage Disconnect),การตัดวงจรแบตเตอรี่เมื่อแรงดันต่ำ (BLVD)
电容,diàn róng,Capacitance (C),ความจุไฟฟ้า (capacitance)
一类市电,yī lèi shì diàn,Class 1 Utility Supply,"ไฟจากการไฟฟ้าประเภท 1 (<=12 ครั้ง/ปี, <=0.5 ชม./ครั้ง)"
二类市电,èr lèi shì diàn,Class 2 Utility Supply,"ไฟจากการไฟฟ้าประเภท 2 (<=42 ครั้ง/ปี, <=6 ชม./ครั้ง)"
三类市电,sān lèi shì diàn,Class 3 Utility Supply,"ไฟจากการไฟฟ้าประเภท 3 (<=54 ครั้ง/ปี, <=8 ชม./ครั้ง)"
